Abyssal Blade,深渊之刃
Aeon Disk,永恒之盘
Aether Lens,以太透镜
Aghanim's Blessing,阿哈利姆神杖
Aghanim's Scepter,阿哈利姆神杖
Aghanim's Shard,阿哈利姆魔晶
Arcane Blink,秘奥闪光
Arcane Boots,奥术鞋
Armlet of Mordiggian,莫尔迪基安的臂章
Assault Cuirass,强袭胸甲
Battle Fury,狂战斧
Black King Bar,黑皇杖
Blade Mail,刃甲
Blink Dagger,闪烁匕首
Bloodstone,血精石
Bloodthorn,血棘
Boots of Bearing,宽容之靴
Boots of Speed,速度之靴
Boots of Travel 2,远行鞋
Boots of Travel,远行鞋
Bracer,护腕
Butterfly,蝴蝶
Crimson Guard,赤红甲
Daedalus,代达罗斯之殇
Dagon (level 2),达贡之神力
Dagon (level 3),达贡之神力
Dagon (level 4),达贡之神力
Dagon (level 5),达贡之神力
Dagon,达贡之神力
Demon Edge,恶魔刀锋
Desolator,黯灭
Diffusal Blade,净魂之刃
Disperser,散魂剑
Divine Rapier,圣剑
Dragon Lance,魔龙枪
Drum of Endurance,韧鼓
Echo Sabre,回音战刃
Eternal Shroud,永世法衣
Ethereal Blade,虚灵之刃
Eul's Scepter of Divinity,Eul的神圣法杖
Eye of Skadi,斯嘉蒂之眼
Falcon Blade,猎鹰战刃
Fallen Sky,天崩
Force Staff,原力法杖
Gem of True Sight,真视宝石
Ghost Scepter,幽魂权杖
Gleipnir,缚灵索
Glimmer Cape,微光披风
Gloves of Haste,加速手套
Guardian Greaves,卫士胫甲
Hand of Midas,迈达斯之手
Harpoon,鱼叉
Heart of Tarrasque,恐鳌之心
Heaven's Halberd,天堂之戟
Helm of the Overlord,统御头盔
Holy Locket,圣洁吊坠
Hurricane Pike,飓风长戟
Kaya and Sange,散慧对剑
Kaya,慧光
Linken's Sphere,林肯法球
Lotus Orb,清莲宝珠
Maelstrom,漩涡
Mage Slayer,法师克星
Manta Style,幻影斧
Mask of Madness,疯狂面具
Medallion of Courage,勇气勋章
Mekansm,梅肯斯姆
Meteor Hammer,陨星锤
Mjollnir,雷神之锤
Monkey King Bar,金箍棒
Moon Shard,银月之晶
Null Talisman,空灵挂件
Nullifier,否决坠饰
Octarine Core,玲珑心
Orb of Corrosion,腐蚀之球
Orchid Malevolence,紫怨
Overwhelming Blink,盛势闪光
Pavise,长盾
Phase Boots,相位鞋
Phylactery,灵匣
Pipe of Insight,洞察烟斗
Power Treads,动力鞋
Radiance,辉耀
Refresher Orb,刷新球
Revenant's Brooch,英灵胸针
Ring of Basilius,王者之戒
Rod of Atos,阿托斯之棍
Sange and Yasha,散夜对剑
Sange,散华
Satanic,撒旦之邪力
Scythe of Vyse,邪恶镰刀
Shadow Blade,影刃
Shiva's Guard,希瓦的守护
Silver Edge,白银之锋
Skull Basher,碎颅锤
Solar Crest,炎阳纹章
Soul Booster,
Soul Ring,灵魂之戒
Spell Prism,法术棱镜
Swift Blink,迅疾闪光
Tranquil Boots,静谧之鞋
Urn of Shadows,影之灵龛
Vanguard,先锋盾
Veil of Discord,纷争面纱
Vladmir's Offering,弗拉迪米尔的祭品
Wind Waker,风之杖
Witch Blade,巫师之刃
Yasha and Kaya,慧夜对剑
Yasha,夜叉
