abaddon,亚巴顿
alchemist,炼金术士
ancient apparition,远古冰魄
anti mage,敌法师
arc warden,天穹守望者
axe,斧王
bane,祸乱之源
batrider,蝙蝠骑士
beastmaster,兽王
bloodseeker,血魔
bounty hunter,赏金猎人
brewmaster,酒仙
bristleback,钢背兽
broodmother,育母蜘蛛
centaur warrunner,半人马战行者
chaos knight,混沌骑士
chen,陈
clinkz,克林克兹
clockwerk,发条技师
crystal maiden,水晶室女
dark seer,黑暗贤者
dark willow,邪影芳灵
dawnbreaker,破晓辰星
dazzle,戴泽
death prophet,死亡先知
disruptor,干扰者
doom,末日使者
dragon knight,龙骑士
drow ranger,卓尔游侠
earth spirit,大地之灵
earthshaker,撼地者
elder titan,上古巨神
ember spirit,灰烬之灵
enchantress,魅惑魔女
enigma,谜团
faceless void,虚空假面
grimstroke,天涯墨客
gyrocopter,矮人直升机
hoodwink,森海飞霞
huskar,哈斯卡
invoker,祈求者
io,艾欧
jakiro,杰奇洛
juggernaut,主宰
keeper of the light,光之守卫
kunkka,昆卡
legion commander,军团指挥官
leshrac,拉席克
lich,巫妖
lifestealer,噬魂鬼
lina,莉娜
lion,莱恩
lone druid,德鲁伊
luna,露娜
lycan,狼人
magnus,马格纳斯
marci,玛西
mars,玛尔斯
medusa,美杜莎
meepo,米波
mirana,米拉娜
monkey king,齐天大圣
morphling,变体精灵
muerta,琼英碧灵
naga siren,娜迦海妖
natures prophet,先知
necrophos,瘟疫法师
night stalker,暗夜魔王
nyx assassin,司夜刺客
ogre magi,食人魔魔法师
omniknight,全能骑士
oracle,神谕者
outworld destroyer,殁境神蚀者
pangolier,石鳞剑士
phantom assassin,幻影刺客
phantom lancer,幻影长矛手
phoenix,凤凰
primal beast,獸
puck,帕克
pudge,帕吉
pugna,帕格纳
queen of pain,痛苦女王
razor,雷泽
riki,力丸
rubick,拉比克
sand king,沙王
shadow demon,暗影恶魔
shadow fiend,影魔
shadow shaman,暗影萨满
silencer,沉默术士
skywrath mage,天怒法师
slardar,斯拉达
slark,斯拉克
snapfire,电炎绝手
sniper,狙击手
spectre,幽鬼
spirit breaker,裂魂人
storm spirit,风暴之灵
sven,斯温
techies,工程师
templar assassin,圣堂刺客
terrorblade,恐怖利刃
tidehunter,潮汐猎人
timbersaw,伐木机
tinker,修补匠
tiny,小小
treant protector,树精卫士
troll warlord,巨魔战将
tusk,巨牙海民
underlord,孽主
undying,不朽尸王
ursa,熊战士
vengeful spirit,复仇之魂
venomancer,剧毒术士
viper,冥界亚龙
visage,维萨吉
void spirit,虚无之灵
warlock,术士
weaver,编织者
windranger,风行者
winter wyvern,寒冬飞龙
witch doctor,巫医
wraith king,冥魂大帝
zeus,宙斯
